metric,prob,err
oracle,0.8087248322147651,0.01997066939532
mse,0.7635135135135135,0.03061623198868412
sl_dt_ate,0.7590604026845638,0.021714768087876986
sl_dt_pehe,0.7436241610738255,0.022170640015990204
sl_lgbm_ate,0.737248322147651,0.015802564976833768
sl_lgbm_pehe,0.7087248322147651,0.01631317498664737
sl_kr_ate,0.7221476510067114,0.01313174218349063
sl_kr_pehe,0.6946308724832215,0.013501807586890955
tl_dt_ate,0.7404362416107383,0.011130093233833061
tl_dt_pehe,0.7139261744966443,0.0114735722723792
tl_lgbm_ate,0.7528859060402685,0.009794703109609743
tl_lgbm_pehe,0.7273825503355704,0.01011197994117821
tl_kr_ate,0.7559284116331096,0.008904022730459432
tl_kr_pehe,0.730089485458613,0.00920206423358958
match_1k_ate,0.7671140939597315,0.021461719840769597
match_1k_pehe,0.7926174496644295,0.02058642134329517
match_3k_ate,0.7691275167785235,0.015129800482899847
match_3k_pehe,0.7922818791946309,0.014565486441968244
match_5k_ate,0.7691275167785235,0.012353430364406384
match_5k_pehe,0.7930648769574944,0.011876098002949101
rs_dt,0.623489932885906,0.024601747474976798
rs_lgbm,0.6117449664429531,0.017498132026888616
rs_kr,0.6060402684563758,0.014324483356747124
