metric,prob,err
oracle,0.5717171717171717,0.02179613180622368
mse,0.5469387755102041,0.03116670122592576
sl_dt_ate,0.5237373737373737,0.02199902891425972
sl_dt_pehe,0.5232323232323233,0.022000074972076226
sl_lgbm_ate,0.5078282828282829,0.015571313457235132
sl_lgbm_pehe,0.5070707070707071,0.015571665049818448
sl_kr_ate,0.5122895622895622,0.01271164125066281
sl_kr_pehe,0.5074074074074074,0.012714087289011241
tl_dt_ate,0.5180555555555556,0.011004748897676418
tl_dt_pehe,0.5136363636363637,0.011007834978812955
tl_lgbm_ate,0.5215151515151515,0.009840247782959985
tl_lgbm_pehe,0.5175757575757576,0.009843283624599438
tl_kr_ate,0.5243265993265993,0.008980556085554967
tl_kr_pehe,0.5201178451178451,0.008983923155323021
match_1k_ate,0.5292929292929293,0.021986033403757713
match_1k_pehe,0.5505050505050505,0.021911218932318316
match_3k_ate,0.525,0.01555374358133563
match_3k_pehe,0.5477272727272727,0.015502111683573008
match_5k_ate,0.5228956228956229,0.012702144604054019
match_5k_pehe,0.5471380471380471,0.012658849143528404
rs_dt,0.4601010101010101,0.02195362932233268
rs_lgbm,0.45681818181818185,0.015515035766506083
rs_kr,0.4590909090909091,0.012672851201735261
