metric,prob,err
oracle,0.7583892617449665,0.021735375170047457
mse,0.7243243243243244,0.03219630036281947
sl_dt_ate,0.6932885906040268,0.023414502230178116
sl_dt_pehe,0.6919463087248322,0.023442954473425884
sl_lgbm_ate,0.6734899328859061,0.016836886397623575
sl_lgbm_pehe,0.6721476510067114,0.01685463809574685
sl_kr_ate,0.6798657718120805,0.013676656946167728
sl_kr_pehe,0.6731543624161074,0.013750895716423898
tl_dt_ate,0.687751677852349,0.011765186812381987
tl_dt_pehe,0.6817114093959732,0.011826160216164214
tl_lgbm_ate,0.6924832214765101,0.010478930760450264
tl_lgbm_pehe,0.6871140939597316,0.010528957284314829
tl_kr_ate,0.6963087248322147,0.009532446752310207
tl_kr_pehe,0.6906040268456376,0.00958206678826465
match_1k_ate,0.7033557046979866,0.023193615046813203
match_1k_pehe,0.7315436241610739,0.022501937463248814
match_3k_ate,0.6976510067114094,0.016490025050589073
match_3k_pehe,0.7278523489932885,0.015979819828247987
match_5k_ate,0.6948545861297539,0.01349903419628343
match_5k_pehe,0.727069351230425,0.013059194268440277
rs_dt,0.6080536912751678,0.024788325546685894
rs_lgbm,0.6053691275167785,0.01754904965118373
rs_kr,0.6078299776286353,0.014312996461610033
