name,ate_mse,pehe_mse,ate_r2,pehe_r2,ate_sl_dt_ate,pehe_sl_dt_ate,ate_sl_dt_pehe,pehe_sl_dt_pehe,ate_sl_lgbm_ate,pehe_sl_lgbm_ate,ate_sl_lgbm_pehe,pehe_sl_lgbm_pehe,ate_sl_cb_ate,pehe_sl_cb_ate,ate_sl_cb_pehe,pehe_sl_cb_pehe,ate_tl_dt_ate,pehe_tl_dt_ate,ate_tl_dt_pehe,pehe_tl_dt_pehe,ate_tl_lgbm_ate,pehe_tl_lgbm_ate,ate_tl_lgbm_pehe,pehe_tl_lgbm_pehe,ate_tl_cb_ate,pehe_tl_cb_ate,ate_tl_cb_pehe,pehe_tl_cb_pehe,ate_rs_dt,pehe_rs_dt,ate_rs_lgbm,pehe_rs_lgbm,ate_rs_cb,pehe_rs_cb
sl,0.245 +/- 0.292,0.168 +/- 0.184,0.183 +/- 0.155,0.185 +/- 0.266,0.937 +/- 1.672,1.792 +/- 2.411,1.691 +/- 3.791,3.052 +/- 6.266,4.789 +/- 2.708,5.793 +/- 5.108,4.789 +/- 2.708,5.793 +/- 5.108,1.531 +/- 1.312,2.042 +/- 1.765,1.661 +/- 1.723,2.886 +/- 4.130,0.102 +/- 0.078,0.472 +/- 0.300,0.144 +/- 0.115,1.129 +/- 2.319,0.099 +/- 0.088,0.580 +/- 0.422,0.301 +/- 0.352,1.438 +/- 2.202,0.349 +/- 0.510,1.093 +/- 1.911,0.313 +/- 0.469,1.142 +/- 1.932,1.048 +/- 0.493,0.985 +/- 0.436,0.317 +/- 0.183,0.343 +/- 0.420,0.594 +/- 0.246,0.403 +/- 0.171
tl,0.168 +/- 0.293,0.080 +/- 0.042,0.180 +/- 0.288,0.103 +/- 0.067,1.843 +/- 3.418,3.551 +/- 6.075,1.725 +/- 3.780,3.529 +/- 7.384,4.791 +/- 2.711,6.377 +/- 6.196,4.791 +/- 2.711,6.377 +/- 6.196,1.421 +/- 0.818,2.693 +/- 2.591,1.600 +/- 1.426,3.763 +/- 5.491,0.276 +/- 0.281,0.875 +/- 0.812,0.395 +/- 0.503,2.068 +/- 3.807,0.277 +/- 0.245,1.033 +/- 0.759,0.230 +/- 0.389,1.380 +/- 2.332,0.208 +/- 0.145,2.186 +/- 4.000,0.233 +/- 0.382,1.449 +/- 2.645,0.968 +/- 0.393,1.555 +/- 1.478,0.202 +/- 0.203,0.508 +/- 0.571,0.335 +/- 0.248,0.881 +/- 1.134
cf,-,-,-,-,0.105 +/- 0.201,0.232 +/- 0.612,0.095 +/- 0.194,0.613 +/- 1.120,0.053 +/- 0.076,0.089 +/- 0.104,0.101 +/- 0.193,0.658 +/- 1.103,0.053 +/- 0.076,0.089 +/- 0.104,0.093 +/- 0.192,0.590 +/- 1.131,0.031 +/- 0.056,0.230 +/- 0.568,0.029 +/- 0.031,0.305 +/- 0.793,0.080 +/- 0.142,0.161 +/- 0.376,0.074 +/- 0.130,0.255 +/- 0.354,0.041 +/- 0.083,0.130 +/- 0.246,0.029 +/- 0.042,0.041 +/- 0.040,0.040 +/- 0.078,0.010 +/- 0.009,0.042 +/- 0.078,0.006 +/- 0.005,0.041 +/- 0.078,0.007 +/- 0.007
sl_mlp,0.382 +/- 0.352,0.139 +/- 0.112,0.382 +/- 0.352,0.139 +/- 0.112,1.060 +/- 2.357,2.154 +/- 4.167,0.658 +/- 1.154,2.605 +/- 5.425,2.454 +/- 1.085,4.272 +/- 4.654,2.560 +/- 0.890,4.329 +/- 4.679,1.611 +/- 1.312,2.146 +/- 2.296,1.425 +/- 1.669,2.808 +/- 4.508,0.161 +/- 0.177,0.342 +/- 0.619,1.814 +/- 4.723,2.452 +/- 5.966,0.208 +/- 0.175,0.380 +/- 0.602,1.817 +/- 4.721,2.568 +/- 5.961,0.214 +/- 0.282,0.318 +/- 0.436,1.815 +/- 4.723,2.458 +/- 5.964,2.312 +/- 4.567,2.778 +/- 5.820,0.239 +/- 0.205,0.307 +/- 0.344,0.568 +/- 0.403,0.420 +/- 0.294
tl_mlp,0.221 +/- 0.229,0.253 +/- 0.128,0.198 +/- 0.143,0.227 +/- 0.152,0.289 +/- 0.425,0.878 +/- 0.731,0.306 +/- 0.220,1.500 +/- 2.442,0.555 +/- 0.443,0.860 +/- 0.753,0.459 +/- 0.276,1.723 +/- 2.323,0.567 +/- 0.438,0.867 +/- 0.748,0.481 +/- 0.216,1.567 +/- 2.414,0.202 +/- 0.125,0.654 +/- 0.467,0.218 +/- 0.167,1.341 +/- 2.220,0.143 +/- 0.093,0.725 +/- 0.439,0.285 +/- 0.143,1.440 +/- 1.995,0.172 +/- 0.167,0.891 +/- 1.077,0.289 +/- 0.204,1.472 +/- 2.232,0.471 +/- 0.255,1.244 +/- 1.688,0.507 +/- 0.624,0.758 +/- 0.957,0.396 +/- 0.343,0.673 +/- 0.844
