name,att_test,policy_test,att_mse,policy_mse,att_r2,policy_r2,att_mixed,policy_mixed,att_sl_dt_ate,policy_sl_dt_ate,att_sl_dt_pehe,policy_sl_dt_pehe,att_sl_lgbm_ate,policy_sl_lgbm_ate,att_sl_lgbm_pehe,policy_sl_lgbm_pehe,att_tl_dt_ate,policy_tl_dt_ate,att_tl_dt_pehe,policy_tl_dt_pehe,att_tl_lgbm_ate,policy_tl_lgbm_ate,att_tl_lgbm_pehe,policy_tl_lgbm_pehe,att_rs_dt,policy_rs_dt,att_rs_lgbm,policy_rs_lgbm,att_rs_cb,policy_rs_cb
sl,0.003 +/- 0.004,0.158 +/- 0.034,0.066 +/- 0.060,0.261 +/- 0.057,0.076 +/- 0.061,0.262 +/- 0.063,-,-,0.083 +/- 0.079,0.290 +/- 0.069,0.083 +/- 0.079,0.297 +/- 0.060,0.076 +/- 0.079,0.271 +/- 0.060,0.083 +/- 0.079,0.297 +/- 0.060,0.082 +/- 0.089,0.265 +/- 0.077,0.063 +/- 0.069,0.242 +/- 0.059,0.082 +/- 0.087,0.219 +/- 0.038,0.075 +/- 0.070,0.247 +/- 0.056,0.079 +/- 0.071,0.246 +/- 0.048,0.076 +/- 0.070,0.211 +/- 0.037,0.074 +/- 0.068,0.217 +/- 0.045
tl,0.000 +/- 0.000,0.128 +/- 0.036,0.074 +/- 0.069,0.235 +/- 0.058,0.077 +/- 0.067,0.237 +/- 0.055,-,-,0.098 +/- 0.083,0.264 +/- 0.059,0.138 +/- 0.090,0.284 +/- 0.042,0.111 +/- 0.080,0.271 +/- 0.067,0.137 +/- 0.092,0.282 +/- 0.042,0.089 +/- 0.066,0.238 +/- 0.062,0.070 +/- 0.061,0.251 +/- 0.047,0.082 +/- 0.073,0.249 +/- 0.060,0.071 +/- 0.065,0.257 +/- 0.045,0.070 +/- 0.075,0.236 +/- 0.052,0.081 +/- 0.074,0.241 +/- 0.047,0.074 +/- 0.056,0.217 +/- 0.032
ipsws,0.024 +/- 0.056,0.158 +/- 0.038,0.077 +/- 0.075,0.245 +/- 0.038,0.080 +/- 0.073,0.245 +/- 0.033,-,-,0.077 +/- 0.080,0.297 +/- 0.059,0.083 +/- 0.079,0.296 +/- 0.060,0.076 +/- 0.078,0.260 +/- 0.043,0.083 +/- 0.079,0.297 +/- 0.060,0.101 +/- 0.083,0.255 +/- 0.065,0.071 +/- 0.057,0.241 +/- 0.065,0.073 +/- 0.070,0.225 +/- 0.039,0.068 +/- 0.075,0.229 +/- 0.046,0.075 +/- 0.063,0.271 +/- 0.048,0.079 +/- 0.059,0.248 +/- 0.058,0.076 +/- 0.065,0.251 +/- 0.046
drs,0.001 +/- 0.002,0.149 +/- 0.030,-,-,-,-,0.075 +/- 0.069,0.240 +/- 0.029,0.082 +/- 0.076,0.239 +/- 0.039,0.102 +/- 0.067,0.265 +/- 0.051,0.068 +/- 0.078,0.247 +/- 0.040,0.105 +/- 0.065,0.264 +/- 0.051,0.135 +/- 0.117,0.247 +/- 0.062,0.094 +/- 0.077,0.253 +/- 0.040,0.090 +/- 0.066,0.254 +/- 0.050,0.095 +/- 0.075,0.261 +/- 0.044,0.065 +/- 0.059,0.236 +/- 0.035,0.064 +/- 0.058,0.243 +/- 0.046,0.070 +/- 0.067,0.235 +/- 0.050
dmls,0.016 +/- 0.016,0.193 +/- 0.035,-,-,-,-,0.078 +/- 0.070,0.264 +/- 0.043,0.262 +/- 0.562,0.261 +/- 0.028,0.083 +/- 0.079,0.293 +/- 0.061,0.188 +/- 0.366,0.253 +/- 0.045,0.083 +/- 0.079,0.293 +/- 0.061,0.084 +/- 0.072,0.271 +/- 0.073,0.086 +/- 0.073,0.277 +/- 0.069,0.080 +/- 0.073,0.275 +/- 0.071,0.087 +/- 0.066,0.255 +/- 0.047,0.090 +/- 0.072,0.248 +/- 0.039,0.107 +/- 0.092,0.271 +/- 0.062,0.088 +/- 0.073,0.238 +/- 0.043
xl,0.003 +/- 0.007,0.153 +/- 0.038,-,-,-,-,-,-,0.087 +/- 0.084,0.231 +/- 0.053,0.076 +/- 0.075,0.218 +/- 0.033,0.090 +/- 0.084,0.229 +/- 0.049,0.076 +/- 0.075,0.218 +/- 0.033,0.082 +/- 0.075,0.239 +/- 0.045,0.081 +/- 0.075,0.249 +/- 0.053,0.067 +/- 0.057,0.243 +/- 0.050,0.075 +/- 0.078,0.251 +/- 0.048,0.073 +/- 0.064,0.218 +/- 0.034,0.077 +/- 0.074,0.233 +/- 0.057,0.067 +/- 0.069,0.220 +/- 0.052
cf,0.053 +/- 0.067,0.204 +/- 0.050,-,-,-,-,-,-,0.077 +/- 0.066,0.249 +/- 0.059,0.074 +/- 0.069,0.250 +/- 0.052,0.080 +/- 0.064,0.247 +/- 0.057,0.079 +/- 0.067,0.254 +/- 0.051,0.079 +/- 0.070,0.256 +/- 0.059,0.075 +/- 0.068,0.256 +/- 0.060,0.079 +/- 0.070,0.258 +/- 0.056,0.076 +/- 0.068,0.258 +/- 0.057,0.072 +/- 0.064,0.226 +/- 0.040,0.072 +/- 0.064,0.225 +/- 0.047,0.072 +/- 0.064,0.225 +/- 0.048
sl_mlp,0.023 +/- 0.057,0.162 +/- 0.029,0.068 +/- 0.066,0.254 +/- 0.055,0.071 +/- 0.065,0.257 +/- 0.052,-,-,0.070 +/- 0.071,0.244 +/- 0.045,0.071 +/- 0.086,0.277 +/- 0.082,0.076 +/- 0.068,0.232 +/- 0.057,0.087 +/- 0.081,0.273 +/- 0.093,0.065 +/- 0.069,0.247 +/- 0.048,0.064 +/- 0.074,0.255 +/- 0.040,0.072 +/- 0.068,0.264 +/- 0.054,0.063 +/- 0.067,0.251 +/- 0.045,0.075 +/- 0.068,0.238 +/- 0.052,0.075 +/- 0.076,0.251 +/- 0.042,0.071 +/- 0.072,0.242 +/- 0.036
tl_mlp,0.010 +/- 0.029,0.132 +/- 0.028,0.066 +/- 0.078,0.226 +/- 0.041,0.075 +/- 0.074,0.248 +/- 0.067,-,-,0.090 +/- 0.079,0.236 +/- 0.050,0.098 +/- 0.090,0.269 +/- 0.074,0.086 +/- 0.079,0.251 +/- 0.047,0.081 +/- 0.081,0.246 +/- 0.063,0.077 +/- 0.077,0.254 +/- 0.042,0.087 +/- 0.077,0.257 +/- 0.037,0.078 +/- 0.079,0.256 +/- 0.044,0.086 +/- 0.087,0.243 +/- 0.047,0.078 +/- 0.052,0.218 +/- 0.040,0.088 +/- 0.074,0.216 +/- 0.046,0.065 +/- 0.061,0.220 +/- 0.041
