name,ate_test,pehe_test,ate_mse,pehe_mse,ate_r2,pehe_r2,ate_mixed,pehe_mixed,ate_sl_dt_ate,pehe_sl_dt_ate,ate_sl_dt_pehe,pehe_sl_dt_pehe,ate_sl_lgbm_ate,pehe_sl_lgbm_ate,ate_sl_lgbm_pehe,pehe_sl_lgbm_pehe,ate_sl_cb_ate,pehe_sl_cb_ate,ate_sl_cb_pehe,pehe_sl_cb_pehe,ate_tl_dt_ate,pehe_tl_dt_ate,ate_tl_dt_pehe,pehe_tl_dt_pehe,ate_tl_lgbm_ate,pehe_tl_lgbm_ate,ate_tl_lgbm_pehe,pehe_tl_lgbm_pehe,ate_tl_cb_ate,pehe_tl_cb_ate,ate_tl_cb_pehe,pehe_tl_cb_pehe,ate_rs_dt,pehe_rs_dt,ate_rs_lgbm,pehe_rs_lgbm,ate_rs_cb,pehe_rs_cb
sl,0.001 +/- 0.003,1.205 +/- 1.683,0.246 +/- 0.294,1.373 +/- 1.836,0.184 +/- 0.155,1.390 +/- 1.932,-,-,0.938 +/- 1.674,2.997 +/- 3.773,1.692 +/- 3.794,4.257 +/- 7.929,4.791 +/- 2.711,6.998 +/- 6.783,4.791 +/- 2.711,6.998 +/- 6.783,1.533 +/- 1.315,3.247 +/- 3.307,1.662 +/- 1.725,4.091 +/- 5.800,0.103 +/- 0.078,1.677 +/- 1.876,0.146 +/- 0.115,2.334 +/- 3.995,0.100 +/- 0.088,1.785 +/- 1.871,0.303 +/- 0.353,2.643 +/- 3.800,0.350 +/- 0.512,2.298 +/- 3.574,0.314 +/- 0.469,2.347 +/- 3.569,1.050 +/- 0.495,2.190 +/- 2.068,0.318 +/- 0.185,1.548 +/- 2.092,0.596 +/- 0.247,1.609 +/- 1.725
tl,0.000 +/- 0.000,0.621 +/- 0.601,0.168 +/- 0.293,0.701 +/- 0.607,0.180 +/- 0.288,0.724 +/- 0.596,-,-,1.843 +/- 3.418,4.172 +/- 6.654,1.725 +/- 3.780,4.150 +/- 7.970,4.791 +/- 2.711,6.998 +/- 6.783,4.791 +/- 2.711,6.998 +/- 6.783,1.421 +/- 0.818,3.314 +/- 3.126,1.600 +/- 1.426,4.384 +/- 6.081,0.276 +/- 0.281,1.496 +/- 0.950,0.395 +/- 0.503,2.689 +/- 4.397,0.277 +/- 0.245,1.654 +/- 0.953,0.230 +/- 0.389,2.001 +/- 2.914,0.208 +/- 0.145,2.807 +/- 4.569,0.233 +/- 0.382,2.070 +/- 3.232,0.968 +/- 0.393,2.176 +/- 2.045,0.202 +/- 0.203,1.129 +/- 1.136,0.335 +/- 0.248,1.502 +/- 1.712
ipsws,0.001 +/- 0.001,1.204 +/- 1.680,0.131 +/- 0.101,1.552 +/- 2.179,0.261 +/- 0.279,2.117 +/- 2.796,-,-,0.640 +/- 1.223,2.878 +/- 3.584,1.668 +/- 3.803,4.233 +/- 7.936,4.791 +/- 2.711,6.998 +/- 6.783,4.791 +/- 2.711,6.998 +/- 6.783,1.356 +/- 0.989,3.291 +/- 3.428,1.350 +/- 1.735,3.816 +/- 5.918,0.107 +/- 0.067,1.626 +/- 1.842,0.315 +/- 0.528,2.650 +/- 4.148,0.146 +/- 0.091,1.832 +/- 1.787,0.388 +/- 0.537,2.697 +/- 3.905,0.304 +/- 0.384,2.401 +/- 3.961,0.352 +/- 0.549,2.461 +/- 3.770,0.935 +/- 0.598,2.129 +/- 2.119,0.315 +/- 0.258,1.396 +/- 1.827,0.528 +/- 0.172,1.654 +/- 1.953
drs,0.002 +/- 0.002,1.275 +/- 1.744,-,-,-,-,0.211 +/- 0.236,1.470 +/- 1.873,0.662 +/- 0.991,3.934 +/- 5.334,1.664 +/- 3.805,4.203 +/- 7.950,4.791 +/- 2.711,6.998 +/- 6.783,4.791 +/- 2.711,6.998 +/- 6.783,1.507 +/- 1.539,6.901 +/- 5.352,0.854 +/- 1.234,3.366 +/- 5.050,0.263 +/- 0.308,3.260 +/- 4.254,0.360 +/- 0.492,2.350 +/- 3.773,0.398 +/- 0.330,3.754 +/- 4.106,0.228 +/- 0.381,2.294 +/- 3.227,0.287 +/- 0.322,2.769 +/- 2.392,0.186 +/- 0.307,2.183 +/- 3.184,0.835 +/- 1.600,2.527 +/- 4.042,0.533 +/- 1.051,1.658 +/- 2.380,0.551 +/- 1.051,1.669 +/- 2.365
dmls,0.007 +/- 0.010,1.679 +/- 2.489,-,-,-,-,0.438 +/- 0.407,1.905 +/- 2.477,1.193 +/- 2.653,2.948 +/- 4.869,1.274 +/- 2.499,2.885 +/- 4.466,2.701 +/- 2.052,4.105 +/- 3.871,2.800 +/- 1.972,4.210 +/- 3.904,1.603 +/- 1.209,2.908 +/- 2.918,1.861 +/- 1.517,3.393 +/- 3.841,0.167 +/- 0.160,1.955 +/- 2.660,0.479 +/- 0.842,2.170 +/- 3.195,0.153 +/- 0.155,2.104 +/- 2.807,0.409 +/- 0.377,2.175 +/- 2.821,0.314 +/- 0.403,2.117 +/- 2.883,0.330 +/- 0.376,2.124 +/- 2.831,1.625 +/- 1.775,3.069 +/- 3.744,0.508 +/- 0.542,2.005 +/- 2.640,0.654 +/- 0.459,2.325 +/- 2.667
xl,0.009 +/- 0.020,1.067 +/- 1.226,-,-,-,-,-,-,0.753 +/- 0.874,2.934 +/- 3.143,1.650 +/- 3.810,4.210 +/- 7.947,4.791 +/- 2.711,6.998 +/- 6.783,4.791 +/- 2.711,6.998 +/- 6.783,0.819 +/- 0.670,2.373 +/- 2.645,1.044 +/- 1.000,3.428 +/- 5.112,0.126 +/- 0.117,1.556 +/- 1.524,0.377 +/- 0.551,2.680 +/- 4.152,0.173 +/- 0.170,1.654 +/- 1.490,0.418 +/- 0.640,2.200 +/- 3.043,0.157 +/- 0.118,2.617 +/- 4.442,0.370 +/- 0.586,2.261 +/- 3.354,0.836 +/- 0.718,2.592 +/- 3.251,0.270 +/- 0.404,1.276 +/- 1.344,0.288 +/- 0.198,1.287 +/- 1.218
cf,0.198 +/- 0.392,2.290 +/- 3.559,-,-,-,-,-,-,0.303 +/- 0.582,2.522 +/- 3.762,0.293 +/- 0.585,2.903 +/- 4.661,0.252 +/- 0.385,2.379 +/- 3.529,0.299 +/- 0.583,2.948 +/- 4.650,0.252 +/- 0.385,2.379 +/- 3.529,0.292 +/- 0.582,2.880 +/- 4.673,0.230 +/- 0.386,2.519 +/- 4.080,0.227 +/- 0.385,2.594 +/- 4.296,0.278 +/- 0.517,2.451 +/- 3.667,0.273 +/- 0.521,2.545 +/- 3.783,0.239 +/- 0.388,2.420 +/- 3.776,0.228 +/- 0.386,2.331 +/- 3.581,0.239 +/- 0.389,2.300 +/- 3.554,0.240 +/- 0.388,2.295 +/- 3.556,0.240 +/- 0.388,2.297 +/- 3.555
sl_mlp,0.104 +/- 0.113,0.925 +/- 0.673,0.486 +/- 0.385,1.064 +/- 0.637,0.486 +/- 0.385,1.064 +/- 0.637,-,-,1.163 +/- 2.387,3.079 +/- 4.779,0.762 +/- 1.178,3.530 +/- 6.062,2.558 +/- 1.136,5.197 +/- 5.312,2.664 +/- 0.941,5.254 +/- 5.333,1.715 +/- 1.333,3.071 +/- 2.893,1.529 +/- 1.690,3.733 +/- 5.152,0.264 +/- 0.237,1.267 +/- 1.283,1.917 +/- 4.749,3.377 +/- 6.626,0.311 +/- 0.217,1.305 +/- 1.265,1.921 +/- 4.748,3.493 +/- 6.620,0.318 +/- 0.313,1.243 +/- 1.091,1.919 +/- 4.749,3.383 +/- 6.624,2.416 +/- 4.592,3.703 +/- 6.482,0.342 +/- 0.201,1.232 +/- 0.831,0.672 +/- 0.431,1.345 +/- 0.945
tl_mlp,0.000 +/- 0.000,0.641 +/- 0.570,0.221 +/- 0.229,0.894 +/- 0.549,0.198 +/- 0.143,0.868 +/- 0.525,-,-,0.289 +/- 0.425,1.519 +/- 1.250,0.306 +/- 0.220,2.141 +/- 2.989,0.555 +/- 0.443,1.501 +/- 1.281,0.459 +/- 0.276,2.365 +/- 2.875,0.567 +/- 0.438,1.509 +/- 1.276,0.481 +/- 0.216,2.208 +/- 2.963,0.202 +/- 0.125,1.296 +/- 1.009,0.218 +/- 0.167,1.982 +/- 2.786,0.143 +/- 0.093,1.366 +/- 0.961,0.285 +/- 0.143,2.081 +/- 2.534,0.172 +/- 0.167,1.532 +/- 1.620,0.289 +/- 0.204,2.114 +/- 2.790,0.471 +/- 0.255,1.885 +/- 2.209,0.507 +/- 0.624,1.399 +/- 1.488,0.396 +/- 0.343,1.314 +/- 1.401
