name,ate_test,pehe_test,ate_mse,pehe_mse,ate_r2,pehe_r2,ate_mixed,pehe_mixed,ate_sl_lgbm_ate,pehe_sl_lgbm_ate,ate_sl_lgbm_pehe,pehe_sl_lgbm_pehe,ate_tl_lgbm_ate,pehe_tl_lgbm_ate,ate_tl_lgbm_pehe,pehe_tl_lgbm_pehe,ate_rs_lgbm,pehe_rs_lgbm
sl,$0.001\pm0.003$,$1.205\pm1.683$,$0.246\pm0.294$,$1.373\pm1.836$,$0.184\pm0.155$,$1.390\pm1.932$,-,-,$4.791\pm2.711$,$6.998\pm6.783$,$4.791\pm2.711$,$6.998\pm6.783$,$0.100\pm0.088$,$1.785\pm1.871$,$0.303\pm0.353$,$2.643\pm3.800$,$0.318\pm0.185$,$1.548\pm2.092$
tl,$0.000\pm0.000$,$0.621\pm0.601$,$0.168\pm0.293$,$0.701\pm0.607$,$0.180\pm0.288$,$0.724\pm0.596$,-,-,$4.791\pm2.711$,$6.998\pm6.783$,$4.791\pm2.711$,$6.998\pm6.783$,$0.277\pm0.245$,$1.654\pm0.953$,$0.230\pm0.389$,$2.001\pm2.914$,$0.202\pm0.203$,$1.129\pm1.136$
ipsws,$0.001\pm0.001$,$1.204\pm1.680$,$0.131\pm0.101$,$1.552\pm2.179$,$0.261\pm0.279$,$2.117\pm2.796$,-,-,$4.791\pm2.711$,$6.998\pm6.783$,$4.791\pm2.711$,$6.998\pm6.783$,$0.146\pm0.091$,$1.832\pm1.787$,$0.388\pm0.537$,$2.697\pm3.905$,$0.315\pm0.258$,$1.396\pm1.827$
drs,$0.002\pm0.002$,$1.275\pm1.744$,-,-,-,-,$0.211\pm0.236$,$1.470\pm1.873$,$4.791\pm2.711$,$6.998\pm6.783$,$4.791\pm2.711$,$6.998\pm6.783$,$0.398\pm0.330$,$3.754\pm4.106$,$0.228\pm0.381$,$2.294\pm3.227$,$0.533\pm1.051$,$1.658\pm2.380$
dmls,$0.007\pm0.010$,$1.679\pm2.489$,-,-,-,-,$0.438\pm0.407$,$1.905\pm2.477$,$2.701\pm2.052$,$4.105\pm3.871$,$2.800\pm1.972$,$4.210\pm3.904$,$0.153\pm0.155$,$2.104\pm2.807$,$0.409\pm0.377$,$2.175\pm2.821$,$0.508\pm0.542$,$2.005\pm2.640$
xl,$0.009\pm0.020$,$1.067\pm1.226$,-,-,-,-,-,-,$4.791\pm2.711$,$6.998\pm6.783$,$4.791\pm2.711$,$6.998\pm6.783$,$0.173\pm0.170$,$1.654\pm1.490$,$0.418\pm0.640$,$2.200\pm3.043$,$0.270\pm0.404$,$1.276\pm1.344$
cf,$0.198\pm0.392$,$2.290\pm3.559$,-,-,-,-,-,-,$0.252\pm0.385$,$2.379\pm3.529$,$0.299\pm0.583$,$2.948\pm4.650$,$0.278\pm0.517$,$2.451\pm3.667$,$0.273\pm0.521$,$2.545\pm3.783$,$0.240\pm0.388$,$2.295\pm3.556$
sl_mlp,$0.104\pm0.113$,$0.925\pm0.673$,$0.486\pm0.385$,$1.064\pm0.637$,$0.486\pm0.385$,$1.064\pm0.637$,-,-,$2.558\pm1.136$,$5.197\pm5.312$,$2.664\pm0.941$,$5.254\pm5.333$,$0.311\pm0.217$,$1.305\pm1.265$,$1.921\pm4.748$,$3.493\pm6.620$,$0.342\pm0.201$,$1.232\pm0.831$
tl_mlp,$0.000\pm0.000$,$0.641\pm0.570$,$0.221\pm0.229$,$0.894\pm0.549$,$0.198\pm0.143$,$0.868\pm0.525$,-,-,$0.555\pm0.443$,$1.501\pm1.281$,$0.459\pm0.276$,$2.365\pm2.875$,$0.143\pm0.093$,$1.366\pm0.961$,$0.285\pm0.143$,$2.081\pm2.534$,$0.507\pm0.624$,$1.399\pm1.488$
