name,ate_test,pehe_test,ate_mse,pehe_mse,ate_r2,pehe_r2,ate_mixed,pehe_mixed,ate_sl_dt_ate,pehe_sl_dt_ate,ate_sl_dt_pehe,pehe_sl_dt_pehe,ate_sl_lgbm_ate,pehe_sl_lgbm_ate,ate_sl_lgbm_pehe,pehe_sl_lgbm_pehe,ate_sl_kr_ate,pehe_sl_kr_ate,ate_sl_kr_pehe,pehe_sl_kr_pehe,ate_tl_dt_ate,pehe_tl_dt_ate,ate_tl_dt_pehe,pehe_tl_dt_pehe,ate_tl_lgbm_ate,pehe_tl_lgbm_ate,ate_tl_lgbm_pehe,pehe_tl_lgbm_pehe,ate_tl_kr_ate,pehe_tl_kr_ate,ate_tl_kr_pehe,pehe_tl_kr_pehe,ate_match_1k_ate,pehe_match_1k_ate,ate_match_1k_pehe,pehe_match_1k_pehe,ate_match_3k_ate,pehe_match_3k_ate,ate_match_3k_pehe,pehe_match_3k_pehe,ate_match_5k_ate,pehe_match_5k_ate,ate_match_5k_pehe,pehe_match_5k_pehe,ate_rs_dt,pehe_rs_dt,ate_rs_lgbm,pehe_rs_lgbm,ate_rs_kr,pehe_rs_kr
sl,$0.027\pm0.011$,$1.688\pm0.122$,$0.156\pm0.034$,$1.729\pm0.127$,$0.156\pm0.034$,$1.729\pm0.127$,-,-,$0.507\pm0.140$,$2.583\pm0.310$,$0.564\pm0.090$,$2.617\pm0.190$,$0.281\pm0.084$,$2.186\pm0.266$,$0.601\pm0.095$,$2.730\pm0.242$,$2.824\pm0.241$,$4.361\pm0.327$,$2.907\pm0.251$,$4.426\pm0.329$,$0.380\pm0.098$,$2.348\pm0.258$,$0.467\pm0.099$,$2.382\pm0.186$,$0.326\pm0.068$,$2.241\pm0.148$,$0.303\pm0.047$,$2.006\pm0.149$,$0.627\pm0.108$,$3.036\pm0.252$,$0.645\pm0.102$,$3.115\pm0.217$,$0.375\pm0.078$,$2.545\pm0.199$,$0.194\pm0.043$,$1.769\pm0.125$,$0.386\pm0.084$,$2.549\pm0.251$,$0.250\pm0.073$,$1.824\pm0.141$,$0.519\pm0.108$,$2.763\pm0.247$,$0.231\pm0.074$,$1.790\pm0.142$,$0.157\pm0.039$,$1.708\pm0.128$,$0.144\pm0.036$,$1.727\pm0.124$,$0.164\pm0.036$,$1.727\pm0.126$
tl,$0.007\pm0.004$,$1.549\pm0.128$,$0.193\pm0.046$,$1.593\pm0.129$,$0.193\pm0.046$,$1.593\pm0.129$,-,-,$0.603\pm0.207$,$2.790\pm0.408$,$0.576\pm0.094$,$2.572\pm0.180$,$0.198\pm0.042$,$1.765\pm0.135$,$0.697\pm0.193$,$2.775\pm0.349$,$2.844\pm0.235$,$4.407\pm0.325$,$2.905\pm0.245$,$4.422\pm0.327$,$0.377\pm0.088$,$2.475\pm0.288$,$0.479\pm0.096$,$2.381\pm0.185$,$0.334\pm0.066$,$2.516\pm0.161$,$0.386\pm0.074$,$2.136\pm0.144$,$0.325\pm0.088$,$9.447\pm2.594$,$0.710\pm0.173$,$2.704\pm0.207$,$0.656\pm0.124$,$9.770\pm2.660$,$0.265\pm0.057$,$1.727\pm0.126$,$0.705\pm0.163$,$8.844\pm2.916$,$0.293\pm0.072$,$1.764\pm0.137$,$0.639\pm0.161$,$2.957\pm0.350$,$0.298\pm0.070$,$1.773\pm0.137$,$0.199\pm0.047$,$1.589\pm0.128$,$0.190\pm0.051$,$1.623\pm0.126$,$0.246\pm0.058$,$1.656\pm0.147$
ipsws,$0.044\pm0.019$,$1.677\pm0.122$,$0.149\pm0.033$,$1.708\pm0.121$,$0.191\pm0.045$,$1.733\pm0.123$,-,-,$0.462\pm0.123$,$2.837\pm0.318$,$0.567\pm0.097$,$2.632\pm0.195$,$0.279\pm0.099$,$2.119\pm0.234$,$0.573\pm0.092$,$2.671\pm0.219$,$2.905\pm0.252$,$4.426\pm0.329$,$2.908\pm0.251$,$4.426\pm0.329$,$0.360\pm0.086$,$2.475\pm0.211$,$0.449\pm0.091$,$2.378\pm0.187$,$0.325\pm0.069$,$2.512\pm0.219$,$0.266\pm0.043$,$1.973\pm0.148$,$0.740\pm0.175$,$3.088\pm0.259$,$0.764\pm0.167$,$3.173\pm0.218$,$0.354\pm0.049$,$2.684\pm0.203$,$0.174\pm0.042$,$1.778\pm0.128$,$0.411\pm0.084$,$2.653\pm0.253$,$0.188\pm0.044$,$1.802\pm0.127$,$0.434\pm0.075$,$2.711\pm0.217$,$0.202\pm0.070$,$1.801\pm0.144$,$0.158\pm0.033$,$1.708\pm0.128$,$0.140\pm0.029$,$1.723\pm0.123$,$0.173\pm0.043$,$1.769\pm0.136$
drs,$0.006\pm0.002$,$1.618\pm0.128$,-,-,-,-,$0.140\pm0.033$,$1.689\pm0.123$,$0.433\pm0.115$,$2.699\pm0.348$,$0.568\pm0.086$,$2.579\pm0.185$,$0.246\pm0.070$,$3.274\pm0.245$,$0.563\pm0.082$,$2.548\pm0.187$,$2.772\pm0.224$,$4.821\pm0.366$,$2.644\pm0.304$,$4.713\pm0.411$,$0.355\pm0.099$,$2.563\pm0.220$,$0.482\pm0.104$,$2.383\pm0.187$,$0.299\pm0.088$,$2.824\pm0.237$,$0.283\pm0.048$,$2.014\pm0.105$,$0.207\pm0.061$,$3.066\pm0.225$,$0.368\pm0.099$,$2.426\pm0.251$,$0.626\pm0.355$,$6.310\pm2.925$,$0.233\pm0.063$,$1.800\pm0.128$,$0.763\pm0.344$,$6.113\pm2.942$,$0.246\pm0.070$,$1.821\pm0.154$,$0.888\pm0.367$,$6.513\pm2.918$,$0.265\pm0.064$,$1.853\pm0.142$,$0.133\pm0.028$,$1.691\pm0.121$,$0.166\pm0.037$,$1.730\pm0.132$,$0.109\pm0.031$,$1.757\pm0.144$
dmls,$0.003\pm0.001$,$2.063\pm0.157$,-,-,-,-,$0.392\pm0.066$,$2.489\pm0.368$,$0.588\pm0.149$,$3.268\pm0.493$,$0.630\pm0.113$,$2.512\pm0.235$,$0.305\pm0.118$,$2.795\pm0.398$,$0.675\pm0.118$,$2.653\pm0.268$,$0.921\pm0.099$,$3.065\pm0.397$,$0.909\pm0.102$,$3.068\pm0.398$,$0.407\pm0.107$,$3.205\pm0.471$,$0.556\pm0.056$,$2.315\pm0.201$,$0.362\pm0.082$,$2.961\pm0.366$,$0.478\pm0.071$,$2.346\pm0.195$,$0.618\pm0.070$,$2.485\pm0.150$,$0.769\pm0.060$,$2.765\pm0.318$,$0.739\pm0.217$,$3.763\pm0.488$,$0.806\pm0.270$,$2.653\pm0.241$,$0.956\pm0.214$,$4.821\pm0.969$,$0.578\pm0.233$,$2.643\pm0.306$,$0.871\pm0.202$,$4.951\pm0.886$,$0.714\pm0.290$,$2.754\pm0.323$,$0.431\pm0.078$,$2.496\pm0.363$,$0.587\pm0.086$,$2.399\pm0.246$,$0.653\pm0.230$,$2.877\pm0.352$
xl,$0.008\pm0.006$,$1.704\pm0.134$,-,-,-,-,-,-,$0.417\pm0.107$,$2.797\pm0.316$,$0.364\pm0.078$,$2.559\pm0.178$,$0.201\pm0.077$,$2.317\pm0.384$,$0.395\pm0.068$,$2.616\pm0.190$,$2.869\pm0.243$,$4.406\pm0.327$,$2.911\pm0.250$,$4.426\pm0.330$,$0.373\pm0.087$,$2.521\pm0.233$,$0.319\pm0.085$,$2.372\pm0.183$,$0.388\pm0.084$,$2.666\pm0.197$,$0.226\pm0.034$,$1.996\pm0.138$,$0.431\pm0.137$,$6.394\pm1.438$,$0.369\pm0.083$,$2.598\pm0.214$,$0.480\pm0.103$,$5.303\pm1.433$,$0.169\pm0.039$,$1.804\pm0.144$,$0.556\pm0.170$,$3.775\pm0.714$,$0.130\pm0.031$,$1.808\pm0.145$,$0.725\pm0.166$,$3.208\pm0.337$,$0.143\pm0.034$,$1.831\pm0.148$,$0.094\pm0.016$,$1.749\pm0.140$,$0.122\pm0.029$,$1.784\pm0.140$,$0.104\pm0.019$,$1.762\pm0.136$
cf,$0.536\pm0.095$,$2.317\pm0.177$,-,-,-,-,-,-,$0.543\pm0.098$,$2.356\pm0.188$,$0.611\pm0.098$,$2.580\pm0.178$,$0.537\pm0.095$,$2.333\pm0.176$,$0.621\pm0.095$,$2.630\pm0.184$,$0.537\pm0.095$,$2.334\pm0.176$,$0.662\pm0.105$,$2.823\pm0.207$,$0.538\pm0.096$,$2.335\pm0.176$,$0.560\pm0.102$,$2.405\pm0.179$,$0.539\pm0.096$,$2.341\pm0.176$,$0.543\pm0.095$,$2.348\pm0.174$,$0.537\pm0.095$,$2.334\pm0.176$,$0.598\pm0.101$,$2.544\pm0.191$,$0.607\pm0.106$,$2.613\pm0.211$,$0.540\pm0.095$,$2.318\pm0.176$,$0.634\pm0.104$,$2.692\pm0.219$,$0.540\pm0.095$,$2.318\pm0.176$,$0.631\pm0.106$,$2.697\pm0.225$,$0.540\pm0.095$,$2.318\pm0.177$,$0.540\pm0.095$,$2.317\pm0.177$,$0.539\pm0.095$,$2.321\pm0.177$,$0.540\pm0.095$,$2.318\pm0.176$
sl_mlp,$1.370\pm0.189$,$3.395\pm0.308$,$2.395\pm0.232$,$3.959\pm0.334$,$2.395\pm0.232$,$3.959\pm0.334$,-,-,$1.393\pm0.193$,$3.462\pm0.316$,$1.422\pm0.190$,$3.433\pm0.309$,$1.393\pm0.193$,$3.462\pm0.316$,$1.405\pm0.189$,$3.434\pm0.310$,$2.521\pm0.216$,$4.073\pm0.319$,$2.413\pm0.209$,$4.010\pm0.314$,$1.393\pm0.193$,$3.462\pm0.316$,$1.405\pm0.189$,$3.434\pm0.310$,$1.393\pm0.193$,$3.462\pm0.316$,$1.421\pm0.190$,$3.428\pm0.309$,$1.470\pm0.154$,$3.469\pm0.314$,$1.559\pm0.124$,$3.473\pm0.298$,$1.409\pm0.191$,$3.468\pm0.314$,$1.419\pm0.181$,$3.428\pm0.310$,$1.393\pm0.193$,$3.462\pm0.316$,$1.399\pm0.193$,$3.435\pm0.307$,$1.393\pm0.193$,$3.462\pm0.316$,$1.394\pm0.191$,$3.425\pm0.311$,$1.454\pm0.174$,$3.427\pm0.309$,$1.497\pm0.164$,$3.426\pm0.310$,$1.434\pm0.177$,$3.425\pm0.307$
tl_mlp,$0.000\pm0.000$,$2.306\pm0.122$,$0.714\pm0.229$,$3.908\pm0.408$,$0.714\pm0.229$,$4.057\pm0.484$,-,-,$0.618\pm0.092$,$5.295\pm0.603$,$1.127\pm0.575$,$4.163\pm0.772$,$0.366\pm0.119$,$5.234\pm0.539$,$1.229\pm0.571$,$3.931\pm0.698$,$2.409\pm0.337$,$9.421\pm1.757$,$2.053\pm0.604$,$4.564\pm0.758$,$0.686\pm0.164$,$5.880\pm1.162$,$1.127\pm0.575$,$4.163\pm0.772$,$0.641\pm0.137$,$5.445\pm0.601$,$0.609\pm0.184$,$3.469\pm0.377$,$0.913\pm0.206$,$6.405\pm1.112$,$1.594\pm0.622$,$4.385\pm0.748$,$0.804\pm0.231$,$6.721\pm1.678$,$0.540\pm0.158$,$3.476\pm0.401$,$1.005\pm0.206$,$7.901\pm1.545$,$0.654\pm0.200$,$3.862\pm0.515$,$0.959\pm0.370$,$7.145\pm1.458$,$0.688\pm0.207$,$3.669\pm0.430$,$1.173\pm0.584$,$4.246\pm0.649$,$1.043\pm0.597$,$3.760\pm0.647$,$0.467\pm0.143$,$4.038\pm0.452$
