name,ate_test,pehe_test,ate_mse,pehe_mse,ate_r2,pehe_r2,ate_mixed,pehe_mixed,ate_sl_dt_ate,pehe_sl_dt_ate,ate_sl_dt_pehe,pehe_sl_dt_pehe,ate_sl_lgbm_ate,pehe_sl_lgbm_ate,ate_sl_lgbm_pehe,pehe_sl_lgbm_pehe,ate_sl_kr_ate,pehe_sl_kr_ate,ate_sl_kr_pehe,pehe_sl_kr_pehe,ate_tl_dt_ate,pehe_tl_dt_ate,ate_tl_dt_pehe,pehe_tl_dt_pehe,ate_tl_lgbm_ate,pehe_tl_lgbm_ate,ate_tl_lgbm_pehe,pehe_tl_lgbm_pehe,ate_tl_kr_ate,pehe_tl_kr_ate,ate_tl_kr_pehe,pehe_tl_kr_pehe,ate_match_1k_ate,pehe_match_1k_ate,ate_match_1k_pehe,pehe_match_1k_pehe,ate_match_3k_ate,pehe_match_3k_ate,ate_match_3k_pehe,pehe_match_3k_pehe,ate_match_5k_ate,pehe_match_5k_ate,ate_match_5k_pehe,pehe_match_5k_pehe,ate_rs_dt,pehe_rs_dt,ate_rs_lgbm,pehe_rs_lgbm,ate_rs_kr,pehe_rs_kr
sl,$0.000\pm0.000$,$0.317\pm0.002$,$0.039\pm0.000$,$0.319\pm0.002$,$0.039\pm0.000$,$0.319\pm0.002$,-,-,$0.013\pm0.002$,$0.318\pm0.002$,$0.031\pm0.001$,$0.318\pm0.002$,$0.036\pm0.000$,$0.335\pm0.002$,$0.046\pm0.000$,$0.320\pm0.002$,$0.032\pm0.002$,$0.345\pm0.004$,$0.042\pm0.004$,$0.320\pm0.002$,$0.069\pm0.001$,$0.398\pm0.007$,$0.047\pm0.001$,$0.320\pm0.002$,$0.048\pm0.001$,$0.350\pm0.000$,$0.047\pm0.001$,$0.320\pm0.002$,$0.069\pm0.001$,$0.398\pm0.007$,$0.047\pm0.001$,$0.320\pm0.002$,$0.069\pm0.001$,$0.398\pm0.007$,$0.047\pm0.001$,$0.320\pm0.002$,$0.069\pm0.002$,$0.399\pm0.005$,$0.047\pm0.001$,$0.320\pm0.002$,$0.069\pm0.001$,$0.398\pm0.007$,$0.047\pm0.001$,$0.320\pm0.002$,$0.046\pm0.001$,$0.321\pm0.003$,$0.027\pm0.002$,$0.319\pm0.002$,$0.044\pm0.000$,$0.321\pm0.003$
tl,$0.000\pm0.000$,$0.318\pm0.002$,$0.051\pm0.000$,$0.328\pm0.003$,$0.051\pm0.000$,$0.328\pm0.003$,-,-,$0.033\pm0.001$,$0.318\pm0.002$,$0.033\pm0.001$,$0.318\pm0.002$,$0.029\pm0.001$,$0.507\pm0.007$,$0.077\pm0.000$,$0.326\pm0.002$,$0.030\pm0.003$,$0.506\pm0.014$,$0.072\pm0.005$,$0.325\pm0.001$,$0.051\pm0.001$,$0.404\pm0.017$,$0.077\pm0.000$,$0.326\pm0.002$,$0.056\pm0.001$,$0.368\pm0.021$,$0.077\pm0.000$,$0.326\pm0.002$,$0.054\pm0.001$,$0.393\pm0.005$,$0.077\pm0.000$,$0.326\pm0.002$,$0.064\pm0.003$,$0.361\pm0.023$,$0.077\pm0.000$,$0.326\pm0.002$,$0.065\pm0.003$,$0.345\pm0.016$,$0.077\pm0.000$,$0.326\pm0.002$,$0.065\pm0.003$,$0.345\pm0.016$,$0.077\pm0.000$,$0.326\pm0.002$,$0.077\pm0.001$,$0.327\pm0.003$,$0.077\pm0.000$,$0.326\pm0.002$,$0.076\pm0.002$,$0.326\pm0.002$
ipsws,$0.000\pm0.000$,$0.317\pm0.002$,$0.040\pm0.000$,$0.320\pm0.002$,$0.040\pm0.000$,$0.320\pm0.002$,-,-,$0.017\pm0.001$,$0.318\pm0.002$,$0.030\pm0.001$,$0.318\pm0.002$,$0.037\pm0.002$,$0.355\pm0.018$,$0.022\pm0.000$,$0.317\pm0.002$,$0.028\pm0.002$,$0.359\pm0.012$,$0.022\pm0.000$,$0.317\pm0.002$,$0.038\pm0.005$,$0.435\pm0.012$,$0.045\pm0.001$,$0.320\pm0.002$,$0.022\pm0.006$,$0.410\pm0.013$,$0.045\pm0.001$,$0.320\pm0.002$,$0.035\pm0.005$,$0.367\pm0.017$,$0.045\pm0.001$,$0.320\pm0.002$,$0.028\pm0.006$,$0.406\pm0.013$,$0.045\pm0.001$,$0.320\pm0.002$,$0.026\pm0.007$,$0.389\pm0.017$,$0.045\pm0.001$,$0.320\pm0.002$,$0.026\pm0.007$,$0.389\pm0.017$,$0.045\pm0.001$,$0.320\pm0.002$,$0.044\pm0.000$,$0.321\pm0.003$,$0.023\pm0.002$,$0.318\pm0.002$,$0.044\pm0.000$,$0.321\pm0.003$
drs,$0.001\pm0.000$,$0.318\pm0.002$,-,-,-,-,$0.053\pm0.001$,$0.330\pm0.003$,$0.033\pm0.001$,$0.318\pm0.002$,$0.033\pm0.001$,$0.318\pm0.002$,$0.040\pm0.003$,$0.373\pm0.014$,$0.060\pm0.001$,$0.323\pm0.002$,$0.039\pm0.002$,$0.393\pm0.033$,$0.060\pm0.004$,$0.323\pm0.001$,$0.057\pm0.002$,$0.531\pm0.029$,$0.077\pm0.000$,$0.326\pm0.002$,$0.059\pm0.002$,$0.426\pm0.035$,$0.077\pm0.000$,$0.326\pm0.002$,$0.057\pm0.003$,$0.397\pm0.019$,$0.077\pm0.000$,$0.326\pm0.002$,$0.060\pm0.004$,$0.477\pm0.031$,$0.077\pm0.000$,$0.326\pm0.002$,$0.060\pm0.002$,$0.382\pm0.020$,$0.077\pm0.000$,$0.326\pm0.002$,$0.065\pm0.003$,$0.363\pm0.013$,$0.077\pm0.000$,$0.326\pm0.002$,$0.062\pm0.000$,$0.324\pm0.003$,$0.063\pm0.001$,$0.323\pm0.002$,$0.062\pm0.000$,$0.324\pm0.003$
dmls,$0.001\pm0.000$,$0.317\pm0.002$,-,-,-,-,$0.033\pm0.001$,$0.318\pm0.002$,$0.005\pm0.001$,$0.317\pm0.002$,$0.006\pm0.001$,$0.317\pm0.002$,$0.038\pm0.001$,$0.319\pm0.002$,$0.032\pm0.000$,$0.318\pm0.002$,$0.036\pm0.002$,$0.319\pm0.002$,$0.037\pm0.002$,$0.319\pm0.002$,$0.053\pm0.001$,$0.322\pm0.003$,$0.040\pm0.001$,$0.319\pm0.002$,$0.060\pm0.003$,$0.323\pm0.001$,$0.040\pm0.001$,$0.319\pm0.002$,$0.063\pm0.000$,$0.324\pm0.003$,$0.043\pm0.001$,$0.320\pm0.002$,$0.063\pm0.000$,$0.324\pm0.003$,$0.060\pm0.003$,$0.323\pm0.001$,$0.063\pm0.001$,$0.324\pm0.002$,$0.060\pm0.003$,$0.323\pm0.001$,$0.063\pm0.000$,$0.324\pm0.003$,$0.058\pm0.003$,$0.324\pm0.001$,$0.038\pm0.002$,$0.319\pm0.002$,$0.031\pm0.000$,$0.318\pm0.002$,$0.039\pm0.002$,$0.319\pm0.002$
xl,$0.013\pm0.001$,$0.318\pm0.002$,-,-,-,-,-,-,$0.033\pm0.001$,$0.318\pm0.002$,$0.033\pm0.001$,$0.318\pm0.002$,$0.052\pm0.002$,$0.417\pm0.019$,$0.057\pm0.002$,$0.322\pm0.002$,$0.039\pm0.000$,$0.396\pm0.013$,$0.052\pm0.003$,$0.322\pm0.001$,$0.050\pm0.001$,$0.367\pm0.008$,$0.077\pm0.000$,$0.326\pm0.002$,$0.054\pm0.002$,$0.353\pm0.029$,$0.077\pm0.000$,$0.326\pm0.002$,$0.058\pm0.003$,$0.336\pm0.013$,$0.077\pm0.000$,$0.326\pm0.002$,$0.069\pm0.003$,$0.334\pm0.010$,$0.077\pm0.000$,$0.326\pm0.002$,$0.070\pm0.002$,$0.335\pm0.012$,$0.077\pm0.000$,$0.326\pm0.002$,$0.070\pm0.002$,$0.331\pm0.007$,$0.077\pm0.000$,$0.326\pm0.002$,$0.072\pm0.002$,$0.326\pm0.002$,$0.052\pm0.001$,$0.323\pm0.003$,$0.075\pm0.002$,$0.327\pm0.003$
cf,$0.063\pm0.000$,$0.323\pm0.002$,-,-,-,-,-,-,$0.063\pm0.001$,$0.323\pm0.002$,$0.064\pm0.000$,$0.323\pm0.002$,$0.063\pm0.001$,$0.323\pm0.002$,$0.065\pm0.001$,$0.324\pm0.002$,$0.063\pm0.001$,$0.323\pm0.002$,$0.065\pm0.000$,$0.324\pm0.002$,$0.063\pm0.001$,$0.323\pm0.002$,$0.065\pm0.001$,$0.324\pm0.002$,$0.063\pm0.000$,$0.323\pm0.002$,$0.067\pm0.000$,$0.324\pm0.002$,$0.063\pm0.001$,$0.323\pm0.002$,$0.068\pm0.000$,$0.324\pm0.002$,$0.068\pm0.000$,$0.324\pm0.002$,$0.064\pm0.001$,$0.323\pm0.002$,$0.067\pm0.000$,$0.324\pm0.002$,$0.068\pm0.000$,$0.324\pm0.002$,$0.067\pm0.000$,$0.324\pm0.002$,$0.065\pm0.001$,$0.324\pm0.002$,$0.064\pm0.000$,$0.323\pm0.002$,$0.064\pm0.000$,$0.323\pm0.002$,$0.064\pm0.000$,$0.323\pm0.002$
sl_mlp,$0.001\pm0.000$,$0.317\pm0.002$,$0.024\pm0.001$,$0.319\pm0.002$,$0.024\pm0.001$,$0.319\pm0.002$,-,-,$0.016\pm0.004$,$0.318\pm0.002$,$0.022\pm0.003$,$0.318\pm0.002$,$0.033\pm0.002$,$0.323\pm0.002$,$0.028\pm0.002$,$0.319\pm0.002$,$0.029\pm0.002$,$0.324\pm0.002$,$0.027\pm0.003$,$0.319\pm0.002$,$0.040\pm0.000$,$0.320\pm0.002$,$0.036\pm0.002$,$0.319\pm0.002$,$0.040\pm0.001$,$0.320\pm0.002$,$0.036\pm0.002$,$0.320\pm0.002$,$0.040\pm0.001$,$0.321\pm0.003$,$0.038\pm0.001$,$0.320\pm0.002$,$0.039\pm0.000$,$0.321\pm0.003$,$0.037\pm0.001$,$0.320\pm0.002$,$0.039\pm0.000$,$0.321\pm0.003$,$0.036\pm0.002$,$0.320\pm0.002$,$0.039\pm0.000$,$0.321\pm0.003$,$0.037\pm0.002$,$0.319\pm0.002$,$0.033\pm0.002$,$0.320\pm0.003$,$0.024\pm0.003$,$0.319\pm0.003$,$0.030\pm0.002$,$0.320\pm0.002$
tl_mlp,$0.000\pm0.000$,$0.328\pm0.004$,$0.050\pm0.002$,$0.340\pm0.004$,$0.049\pm0.001$,$0.340\pm0.004$,-,-,$0.016\pm0.004$,$0.396\pm0.007$,$0.068\pm0.003$,$0.331\pm0.004$,$0.039\pm0.004$,$0.378\pm0.010$,$0.068\pm0.003$,$0.331\pm0.004$,$0.037\pm0.003$,$0.380\pm0.008$,$0.067\pm0.003$,$0.331\pm0.004$,$0.068\pm0.006$,$0.395\pm0.010$,$0.065\pm0.002$,$0.331\pm0.005$,$0.061\pm0.005$,$0.386\pm0.014$,$0.065\pm0.003$,$0.331\pm0.004$,$0.069\pm0.004$,$0.379\pm0.014$,$0.064\pm0.003$,$0.332\pm0.004$,$0.078\pm0.008$,$0.395\pm0.014$,$0.068\pm0.002$,$0.334\pm0.004$,$0.078\pm0.005$,$0.409\pm0.010$,$0.068\pm0.002$,$0.335\pm0.004$,$0.077\pm0.006$,$0.411\pm0.008$,$0.068\pm0.002$,$0.335\pm0.004$,$0.068\pm0.002$,$0.332\pm0.005$,$0.066\pm0.002$,$0.332\pm0.005$,$0.066\pm0.003$,$0.333\pm0.004$
