name,att_mse,policy_mse,att_r2,policy_r2,att_sl_dt_ate,policy_sl_dt_ate,att_sl_dt_pehe,policy_sl_dt_pehe,att_sl_lgbm_ate,policy_sl_lgbm_ate,att_sl_lgbm_pehe,policy_sl_lgbm_pehe,att_tl_dt_ate,policy_tl_dt_ate,att_tl_dt_pehe,policy_tl_dt_pehe,att_tl_lgbm_ate,policy_tl_lgbm_ate,att_tl_lgbm_pehe,policy_tl_lgbm_pehe,att_rs_dt,policy_rs_dt,att_rs_lgbm,policy_rs_lgbm,att_rs_cb,policy_rs_cb
sl_l1,0.000 +/- 0.000,0.000 +/- 0.000,0.000 +/- 0.000,0.000 +/- 0.000,0.010 +/- 0.000,0.029 +/- 0.000,0.010 +/- 0.000,0.029 +/- 0.000,0.000 +/- 0.000,0.000 +/- 0.000,0.010 +/- 0.000,0.029 +/- 0.000,0.010 +/- 0.000,0.029 +/- 0.000,0.010 +/- 0.000,0.029 +/- 0.000,0.010 +/- 0.000,0.029 +/- 0.000,0.010 +/- 0.000,0.029 +/- 0.000,0.000 +/- 0.000,0.000 +/- 0.000,0.000 +/- 0.000,0.000 +/- 0.000,0.000 +/- 0.000,0.000 +/- 0.000
sl_l2,0.000 +/- 0.000,0.000 +/- 0.000,0.000 +/- 0.000,0.000 +/- 0.000,0.000 +/- 0.000,0.000 +/- 0.000,0.000 +/- 0.000,0.000 +/- 0.000,0.000 +/- 0.000,0.000 +/- 0.000,0.000 +/- 0.000,0.000 +/- 0.000,0.000 +/- 0.000,0.000 +/- 0.000,0.000 +/- 0.000,0.000 +/- 0.000,0.000 +/- 0.000,0.000 +/- 0.000,0.000 +/- 0.000,0.000 +/- 0.000,0.004 +/- 0.004,0.000 +/- 0.000,0.000 +/- 0.000,0.000 +/- 0.000,0.009 +/- 0.000,0.000 +/- 0.000
sl_dt,0.011 +/- 0.008,0.051 +/- 0.024,0.018 +/- 0.011,0.068 +/- 0.030,0.028 +/- 0.001,0.098 +/- 0.000,0.028 +/- 0.001,0.059 +/- 0.000,0.057 +/- 0.009,0.061 +/- 0.006,0.028 +/- 0.001,0.059 +/- 0.000,0.006 +/- 0.003,0.050 +/- 0.000,0.012 +/- 0.006,0.027 +/- 0.014,0.028 +/- 0.001,0.059 +/- 0.000,0.007 +/- 0.001,0.039 +/- 0.000,0.018 +/- 0.019,0.018 +/- 0.018,0.007 +/- 0.001,0.039 +/- 0.000,0.008 +/- 0.001,0.000 +/- 0.000
sl_rf,0.001 +/- 0.000,0.105 +/- 0.019,0.001 +/- 0.000,0.105 +/- 0.019,0.029 +/- 0.000,0.069 +/- 0.039,0.029 +/- 0.000,0.090 +/- 0.076,0.003 +/- 0.000,0.149 +/- 0.019,0.008 +/- 0.000,0.130 +/- 0.019,0.028 +/- 0.004,0.118 +/- 0.054,0.005 +/- 0.005,0.091 +/- 0.029,0.029 +/- 0.000,0.106 +/- 0.063,0.003 +/- 0.000,0.072 +/- 0.019,0.002 +/- 0.003,0.088 +/- 0.045,0.003 +/- 0.000,0.128 +/- 0.019,0.001 +/- 0.000,0.105 +/- 0.019
sl_et,0.013 +/- 0.000,0.054 +/- 0.022,0.013 +/- 0.000,0.054 +/- 0.022,0.029 +/- 0.000,0.099 +/- 0.053,0.029 +/- 0.000,0.095 +/- 0.053,0.012 +/- 0.000,0.110 +/- 0.023,0.029 +/- 0.000,0.082 +/- 0.056,0.029 +/- 0.000,0.096 +/- 0.045,0.002 +/- 0.000,0.097 +/- 0.022,0.029 +/- 0.000,0.066 +/- 0.037,0.014 +/- 0.000,0.101 +/- 0.024,0.020 +/- 0.000,0.076 +/- 0.022,0.006 +/- 0.000,0.029 +/- 0.022,0.013 +/- 0.000,0.054 +/- 0.022
sl_kr,0.017 +/- 0.000,0.166 +/- 0.000,0.017 +/- 0.000,0.166 +/- 0.000,0.012 +/- 0.000,0.121 +/- 0.000,0.015 +/- 0.000,0.062 +/- 0.000,0.015 +/- 0.000,0.045 +/- 0.000,0.015 +/- 0.000,0.062 +/- 0.000,0.088 +/- 0.000,0.171 +/- 0.000,0.012 +/- 0.000,0.121 +/- 0.000,0.100 +/- 0.000,0.171 +/- 0.000,0.012 +/- 0.000,0.121 +/- 0.000,0.015 +/- 0.000,0.045 +/- 0.000,0.011 +/- 0.000,0.144 +/- 0.000,0.015 +/- 0.000,0.045 +/- 0.000
sl_cb,0.016 +/- 0.000,0.036 +/- 0.000,0.016 +/- 0.000,0.036 +/- 0.000,0.010 +/- 0.000,0.068 +/- 0.000,0.010 +/- 0.000,0.068 +/- 0.000,0.019 +/- 0.000,0.035 +/- 0.000,0.010 +/- 0.000,0.068 +/- 0.000,0.013 +/- 0.002,0.075 +/- 0.005,0.015 +/- 0.000,0.078 +/- 0.000,0.015 +/- 0.000,0.078 +/- 0.000,0.018 +/- 0.000,0.042 +/- 0.000,0.012 +/- 0.006,0.032 +/- 0.003,0.017 +/- 0.000,0.033 +/- 0.000,0.017 +/- 0.000,0.033 +/- 0.000
sl_lgbm,0.010 +/- 0.000,0.033 +/- 0.000,0.010 +/- 0.000,0.033 +/- 0.000,0.023 +/- 0.000,0.016 +/- 0.000,0.015 +/- 0.000,0.022 +/- 0.000,0.020 +/- 0.000,0.044 +/- 0.000,0.015 +/- 0.000,0.022 +/- 0.000,0.018 +/- 0.006,0.040 +/- 0.007,0.000 +/- 0.000,0.022 +/- 0.000,0.028 +/- 0.000,0.014 +/- 0.000,0.010 +/- 0.000,0.033 +/- 0.000,0.016 +/- 0.004,0.021 +/- 0.007,0.016 +/- 0.000,0.009 +/- 0.000,0.016 +/- 0.000,0.009 +/- 0.000
