name,ate_test,pehe_test,ate_sl_dt_ate,pehe_sl_dt_ate,ate_sl_dt_pehe,pehe_sl_dt_pehe,ate_sl_lgbm_ate,pehe_sl_lgbm_ate,ate_sl_lgbm_pehe,pehe_sl_lgbm_pehe,ate_sl_kr_ate,pehe_sl_kr_ate,ate_sl_kr_pehe,pehe_sl_kr_pehe,ate_tl_dt_ate,pehe_tl_dt_ate,ate_tl_dt_pehe,pehe_tl_dt_pehe,ate_tl_lgbm_ate,pehe_tl_lgbm_ate,ate_tl_lgbm_pehe,pehe_tl_lgbm_pehe,ate_tl_kr_ate,pehe_tl_kr_ate,ate_tl_kr_pehe,pehe_tl_kr_pehe,ate_match_1k_ate,pehe_match_1k_ate,ate_match_1k_pehe,pehe_match_1k_pehe,ate_match_3k_ate,pehe_match_3k_ate,ate_match_3k_pehe,pehe_match_3k_pehe,ate_match_5k_ate,pehe_match_5k_ate,ate_match_5k_pehe,pehe_match_5k_pehe,ate_rs_dt,pehe_rs_dt,ate_rs_lgbm,pehe_rs_lgbm,ate_rs_kr,pehe_rs_kr
l1,$0.046\pm0.016$,$1.643\pm0.884$,$1.220\pm0.751$,$2.664\pm1.315$,$1.625\pm1.273$,$4.244\pm2.644$,$4.791\pm0.904$,$6.998\pm2.261$,$4.791\pm0.904$,$6.998\pm2.261$,$1.682\pm0.843$,$4.485\pm2.375$,$1.717\pm0.839$,$4.667\pm2.408$,$0.235\pm0.129$,$1.893\pm0.851$,$0.411\pm0.225$,$2.750\pm1.459$,$0.237\pm0.138$,$1.892\pm0.863$,$0.430\pm0.241$,$2.550\pm1.259$,$0.332\pm0.092$,$1.962\pm0.865$,$0.277\pm0.100$,$1.820\pm0.887$,$0.098\pm0.016$,$1.857\pm0.896$,$0.226\pm0.100$,$1.698\pm0.904$,$0.115\pm0.022$,$1.818\pm0.901$,$0.226\pm0.100$,$1.698\pm0.904$,$0.121\pm0.020$,$1.895\pm0.890$,$0.226\pm0.100$,$1.698\pm0.904$,$1.681\pm0.456$,$3.251\pm1.324$,$0.340\pm0.129$,$1.795\pm0.881$,$0.931\pm0.529$,$2.546\pm1.332$
l2,$0.161\pm0.112$,$1.603\pm0.841$,$0.791\pm0.539$,$2.409\pm1.220$,$1.069\pm0.945$,$3.984\pm2.514$,$1.676\pm0.881$,$4.647\pm2.424$,$1.676\pm0.881$,$4.647\pm2.424$,$1.734\pm0.872$,$4.176\pm2.389$,$1.647\pm0.883$,$4.631\pm2.426$,$0.236\pm0.135$,$1.881\pm0.864$,$0.367\pm0.241$,$2.008\pm0.971$,$0.233\pm0.135$,$1.822\pm0.867$,$0.367\pm0.241$,$2.008\pm0.971$,$0.332\pm0.113$,$1.898\pm0.823$,$0.330\pm0.179$,$1.738\pm0.859$,$0.248\pm0.115$,$1.783\pm0.841$,$0.215\pm0.116$,$1.617\pm0.840$,$0.232\pm0.117$,$1.732\pm0.847$,$0.215\pm0.116$,$1.617\pm0.840$,$0.222\pm0.117$,$1.755\pm0.843$,$0.215\pm0.116$,$1.617\pm0.840$,$0.743\pm0.214$,$2.344\pm0.918$,$0.270\pm0.142$,$1.810\pm0.899$,$0.449\pm0.241$,$2.030\pm0.944$
dt,$0.000\pm0.000$,$1.890\pm0.932$,$1.420\pm0.883$,$4.249\pm1.573$,$0.388\pm0.268$,$3.699\pm2.002$,$2.916\pm0.644$,$4.509\pm1.376$,$2.071\pm0.231$,$4.983\pm1.808$,$1.146\pm0.129$,$3.909\pm2.124$,$1.298\pm0.229$,$4.233\pm1.921$,$0.310\pm0.104$,$3.488\pm1.416$,$0.294\pm0.179$,$2.777\pm1.502$,$0.359\pm0.107$,$3.750\pm1.377$,$0.284\pm0.125$,$3.167\pm1.710$,$0.346\pm0.084$,$3.435\pm1.496$,$0.620\pm0.201$,$2.294\pm0.978$,$0.218\pm0.043$,$3.642\pm1.573$,$0.451\pm0.293$,$2.189\pm1.037$,$0.278\pm0.099$,$3.153\pm1.447$,$0.487\pm0.271$,$2.187\pm1.039$,$0.246\pm0.101$,$3.286\pm1.430$,$0.489\pm0.272$,$2.183\pm1.040$,$1.754\pm0.581$,$3.181\pm1.240$,$0.399\pm0.202$,$2.330\pm1.028$,$1.019\pm0.602$,$2.615\pm1.259$
rf,$0.020\pm0.011$,$1.529\pm0.811$,$0.929\pm0.716$,$3.636\pm2.162$,$1.272\pm1.017$,$3.970\pm2.451$,$1.412\pm1.000$,$4.023\pm2.442$,$1.372\pm1.004$,$4.123\pm2.431$,$1.107\pm0.798$,$3.780\pm2.250$,$1.243\pm1.012$,$4.040\pm2.425$,$0.126\pm0.037$,$1.823\pm0.840$,$0.285\pm0.131$,$2.646\pm1.384$,$0.284\pm0.127$,$2.051\pm1.016$,$0.355\pm0.181$,$2.603\pm1.315$,$0.248\pm0.043$,$1.975\pm0.877$,$0.204\pm0.054$,$1.816\pm0.818$,$0.163\pm0.037$,$2.341\pm1.245$,$0.109\pm0.043$,$1.718\pm0.822$,$0.127\pm0.027$,$1.874\pm0.853$,$0.108\pm0.042$,$1.708\pm0.824$,$0.148\pm0.025$,$1.899\pm0.881$,$0.102\pm0.042$,$1.705\pm0.824$,$0.254\pm0.073$,$2.183\pm1.122$,$0.253\pm0.095$,$1.909\pm0.968$,$0.260\pm0.069$,$2.175\pm1.147$
et,$0.003\pm0.002$,$1.582\pm0.915$,$0.891\pm0.740$,$3.801\pm2.183$,$0.926\pm0.806$,$3.797\pm2.252$,$1.102\pm0.788$,$3.863\pm2.240$,$1.037\pm0.795$,$3.879\pm2.238$,$1.028\pm0.725$,$3.788\pm2.185$,$1.057\pm0.803$,$3.973\pm2.222$,$0.443\pm0.362$,$2.140\pm1.144$,$0.362\pm0.190$,$2.627\pm1.491$,$0.273\pm0.201$,$2.038\pm0.998$,$0.341\pm0.162$,$2.776\pm1.454$,$0.264\pm0.085$,$2.026\pm0.953$,$0.220\pm0.107$,$1.955\pm1.026$,$0.183\pm0.086$,$1.989\pm0.969$,$0.281\pm0.191$,$1.788\pm0.999$,$0.193\pm0.084$,$2.063\pm0.948$,$0.278\pm0.184$,$1.793\pm0.996$,$0.210\pm0.102$,$2.124\pm0.997$,$0.281\pm0.184$,$1.795\pm0.996$,$0.558\pm0.347$,$2.656\pm1.589$,$0.292\pm0.129$,$1.999\pm1.107$,$0.378\pm0.166$,$2.293\pm1.331$
kr,$0.001\pm0.001$,$0.653\pm0.195$,$1.026\pm0.466$,$3.807\pm1.793$,$1.652\pm1.270$,$4.135\pm2.660$,$4.791\pm0.904$,$6.998\pm2.261$,$4.791\pm0.904$,$6.998\pm2.261$,$1.611\pm0.815$,$3.525\pm1.021$,$1.659\pm0.787$,$4.441\pm2.248$,$0.267\pm0.097$,$1.515\pm0.315$,$0.342\pm0.211$,$2.037\pm1.156$,$0.195\pm0.055$,$2.251\pm0.521$,$0.447\pm0.287$,$2.416\pm1.151$,$0.255\pm0.039$,$2.393\pm0.601$,$0.190\pm0.042$,$1.306\pm0.523$,$0.317\pm0.160$,$2.840\pm1.145$,$0.137\pm0.072$,$0.746\pm0.239$,$0.174\pm0.041$,$2.040\pm0.604$,$0.147\pm0.072$,$0.750\pm0.244$,$0.379\pm0.191$,$2.716\pm1.146$,$0.151\pm0.072$,$0.735\pm0.241$,$0.833\pm0.103$,$2.253\pm0.679$,$0.282\pm0.104$,$1.399\pm0.623$,$0.487\pm0.235$,$1.787\pm0.865$
cb,$0.004\pm0.002$,$0.893\pm0.386$,$0.726\pm0.520$,$2.331\pm1.103$,$0.676\pm0.388$,$3.055\pm1.761$,$1.317\pm0.455$,$2.541\pm1.077$,$1.248\pm0.306$,$3.447\pm1.701$,$1.238\pm0.460$,$2.472\pm1.084$,$0.892\pm0.361$,$3.402\pm1.710$,$0.173\pm0.044$,$1.574\pm0.422$,$0.240\pm0.127$,$2.083\pm1.075$,$0.108\pm0.020$,$1.480\pm0.344$,$0.214\pm0.129$,$2.074\pm0.960$,$0.292\pm0.048$,$1.333\pm0.398$,$0.242\pm0.061$,$1.428\pm0.684$,$0.221\pm0.067$,$1.941\pm0.876$,$0.109\pm0.019$,$0.972\pm0.410$,$0.164\pm0.046$,$1.423\pm0.377$,$0.090\pm0.016$,$0.983\pm0.396$,$0.154\pm0.032$,$1.318\pm0.386$,$0.089\pm0.015$,$0.980\pm0.396$,$0.908\pm0.206$,$2.011\pm0.712$,$0.267\pm0.064$,$1.453\pm0.700$,$0.571\pm0.203$,$1.697\pm0.736$
lgbm,$0.016\pm0.008$,$1.326\pm0.562$,$0.547\pm0.356$,$2.581\pm1.072$,$0.556\pm0.367$,$2.161\pm1.115$,$1.043\pm0.227$,$3.698\pm2.100$,$1.067\pm0.311$,$2.593\pm1.052$,$1.041\pm0.227$,$3.696\pm2.099$,$1.083\pm0.337$,$2.586\pm1.065$,$0.212\pm0.064$,$1.867\pm0.564$,$0.175\pm0.055$,$1.809\pm0.931$,$0.183\pm0.058$,$2.655\pm0.887$,$0.315\pm0.081$,$1.916\pm0.920$,$0.379\pm0.078$,$1.901\pm0.552$,$0.351\pm0.066$,$1.976\pm0.939$,$0.266\pm0.083$,$1.696\pm0.579$,$0.183\pm0.069$,$1.418\pm0.599$,$0.197\pm0.062$,$1.642\pm0.563$,$0.177\pm0.071$,$1.421\pm0.599$,$0.208\pm0.061$,$1.660\pm0.564$,$0.183\pm0.070$,$1.418\pm0.599$,$1.072\pm0.308$,$2.442\pm1.042$,$0.264\pm0.080$,$1.881\pm0.907$,$0.770\pm0.343$,$2.314\pm1.077$
mlp,$0.000\pm0.000$,$0.641\pm0.190$,$1.011\pm0.810$,$3.190\pm1.575$,$0.720\pm0.398$,$3.534\pm2.020$,$2.558\pm0.379$,$5.197\pm1.771$,$2.664\pm0.314$,$5.254\pm1.778$,$1.454\pm0.627$,$2.863\pm1.003$,$1.214\pm0.351$,$3.688\pm1.914$,$0.202\pm0.042$,$1.296\pm0.336$,$0.249\pm0.059$,$1.917\pm0.933$,$0.143\pm0.031$,$1.366\pm0.320$,$0.240\pm0.028$,$2.087\pm0.853$,$0.460\pm0.109$,$1.701\pm0.700$,$0.415\pm0.139$,$1.531\pm0.685$,$0.276\pm0.097$,$1.484\pm0.500$,$0.379\pm0.165$,$1.179\pm0.459$,$0.134\pm0.023$,$1.250\pm0.307$,$0.271\pm0.098$,$1.090\pm0.439$,$0.154\pm0.050$,$1.457\pm0.466$,$0.283\pm0.097$,$1.096\pm0.438$,$0.840\pm0.111$,$2.133\pm0.664$,$0.507\pm0.208$,$1.399\pm0.496$,$0.402\pm0.093$,$1.541\pm0.626$
