name,att_test,policy_test,att_mse,policy_mse,att_r2,policy_r2,att_mixed,policy_mixed,att_sl_lgbm_ate,policy_sl_lgbm_ate,att_sl_lgbm_pehe,policy_sl_lgbm_pehe,att_tl_lgbm_ate,policy_tl_lgbm_ate,att_tl_lgbm_pehe,policy_tl_lgbm_pehe,att_rs_lgbm,policy_rs_lgbm
sl,$0.003\pm0.004$,$0.158\pm0.034$,$0.066\pm0.060$,$0.261\pm0.057$,$0.076\pm0.061$,$0.262\pm0.063$,-,-,$0.076\pm0.079$,$0.271\pm0.060$,$0.083\pm0.079$,$0.297\pm0.060$,$0.082\pm0.087$,$0.219\pm0.038$,$0.075\pm0.070$,$0.247\pm0.056$,$0.076\pm0.070$,$0.211\pm0.037$
tl,$0.000\pm0.000$,$0.128\pm0.036$,$0.074\pm0.069$,$0.235\pm0.058$,$0.077\pm0.067$,$0.237\pm0.055$,-,-,$0.111\pm0.080$,$0.271\pm0.067$,$0.137\pm0.092$,$0.282\pm0.042$,$0.082\pm0.073$,$0.249\pm0.060$,$0.071\pm0.065$,$0.257\pm0.045$,$0.081\pm0.074$,$0.241\pm0.047$
ipsws,$0.024\pm0.056$,$0.158\pm0.038$,$0.077\pm0.075$,$0.245\pm0.038$,$0.080\pm0.073$,$0.245\pm0.033$,-,-,$0.076\pm0.078$,$0.260\pm0.043$,$0.083\pm0.079$,$0.297\pm0.060$,$0.073\pm0.070$,$0.225\pm0.039$,$0.068\pm0.075$,$0.229\pm0.046$,$0.079\pm0.059$,$0.248\pm0.058$
drs,$0.001\pm0.002$,$0.149\pm0.030$,-,-,-,-,$0.075\pm0.069$,$0.240\pm0.029$,$0.068\pm0.078$,$0.247\pm0.040$,$0.105\pm0.065$,$0.264\pm0.051$,$0.090\pm0.066$,$0.254\pm0.050$,$0.095\pm0.075$,$0.261\pm0.044$,$0.064\pm0.058$,$0.243\pm0.046$
dmls,$0.016\pm0.016$,$0.193\pm0.035$,-,-,-,-,$0.078\pm0.070$,$0.264\pm0.043$,$0.188\pm0.366$,$0.253\pm0.045$,$0.083\pm0.079$,$0.293\pm0.061$,$0.080\pm0.073$,$0.275\pm0.071$,$0.087\pm0.066$,$0.255\pm0.047$,$0.107\pm0.092$,$0.271\pm0.062$
xl,$0.003\pm0.007$,$0.153\pm0.038$,-,-,-,-,-,-,$0.090\pm0.084$,$0.229\pm0.049$,$0.076\pm0.075$,$0.218\pm0.033$,$0.067\pm0.057$,$0.243\pm0.050$,$0.075\pm0.078$,$0.251\pm0.048$,$0.077\pm0.074$,$0.233\pm0.057$
cf,$0.053\pm0.067$,$0.204\pm0.050$,-,-,-,-,-,-,$0.080\pm0.064$,$0.247\pm0.057$,$0.079\pm0.067$,$0.254\pm0.051$,$0.079\pm0.070$,$0.258\pm0.056$,$0.076\pm0.068$,$0.258\pm0.057$,$0.072\pm0.064$,$0.225\pm0.047$
sl_mlp,$0.023\pm0.057$,$0.162\pm0.029$,$0.068\pm0.066$,$0.254\pm0.055$,$0.071\pm0.065$,$0.257\pm0.052$,-,-,$0.076\pm0.068$,$0.232\pm0.057$,$0.087\pm0.081$,$0.273\pm0.093$,$0.072\pm0.068$,$0.264\pm0.054$,$0.063\pm0.067$,$0.251\pm0.045$,$0.075\pm0.076$,$0.251\pm0.042$
tl_mlp,$0.010\pm0.029$,$0.132\pm0.028$,$0.066\pm0.078$,$0.226\pm0.041$,$0.075\pm0.074$,$0.248\pm0.067$,-,-,$0.086\pm0.079$,$0.251\pm0.047$,$0.081\pm0.081$,$0.246\pm0.063$,$0.078\pm0.079$,$0.256\pm0.044$,$0.086\pm0.087$,$0.243\pm0.047$,$0.088\pm0.074$,$0.216\pm0.046$
