metric,prob,err
oracle,0.6734870317002882,0.015602930366113238
mse,0.6401162790697674,0.022683098829427283
sl_dt_ate,0.6247838616714697,0.01611005377991506
sl_dt_pehe,0.6178674351585014,0.016167616971361588
sl_lgbm_ate,0.6063400576368876,0.011494632180969277
sl_lgbm_pehe,0.5936599423631124,0.01155553421600015
sl_kr_ate,0.6024015369836695,0.009401477059837043
sl_kr_pehe,0.5878001921229586,0.009455825759433016
tl_dt_ate,0.6135446685878962,0.008100915146459022
tl_dt_pehe,0.5996397694524496,0.008151396486786887
tl_lgbm_ate,0.620864553314121,0.007219414204500004
tl_lgbm_pehe,0.6076657060518732,0.007265522151786873
tl_kr_ate,0.6237752161383285,0.006580417779913816
tl_kr_pehe,0.6102785782901057,0.006624558060297267
match_1k_ate,0.6314121037463977,0.016051599684094576
match_1k_pehe,0.6544668587896254,0.01582267901222739
match_3k_ate,0.6298270893371758,0.011360287464652855
match_3k_pehe,0.6527377521613833,0.011201456275582666
match_5k_ate,0.628626320845341,0.009281807289278845
match_5k_pehe,0.6527377521613833,0.009145950750424667
rs_dt,0.5302593659942363,0.016605982383954148
rs_lgbm,0.523342939481268,0.01175093803189788
rs_kr,0.5221902017291066,0.009595610071111435
