name,ate_mse,pehe_mse,ate_r2,pehe_r2,ate_sl_dt_ate,pehe_sl_dt_ate,ate_sl_dt_pehe,pehe_sl_dt_pehe,ate_sl_lgbm_ate,pehe_sl_lgbm_ate,ate_sl_lgbm_pehe,pehe_sl_lgbm_pehe,ate_sl_cb_ate,pehe_sl_cb_ate,ate_sl_cb_pehe,pehe_sl_cb_pehe,ate_tl_dt_ate,pehe_tl_dt_ate,ate_tl_dt_pehe,pehe_tl_dt_pehe,ate_tl_lgbm_ate,pehe_tl_lgbm_ate,ate_tl_lgbm_pehe,pehe_tl_lgbm_pehe,ate_tl_cb_ate,pehe_tl_cb_ate,ate_tl_cb_pehe,pehe_tl_cb_pehe,ate_rs_dt,pehe_rs_dt,ate_rs_lgbm,pehe_rs_lgbm,ate_rs_cb,pehe_rs_cb
sl,0.506 +/- 0.133,0.616 +/- 0.142,-0.489 +/- 0.141,-0.598 +/- 0.157,0.740 +/- 0.557,0.674 +/- 0.543,0.655 +/- 0.594,0.606 +/- 0.700,-0.916 +/- 0.226,-0.884 +/- 0.129,-0.910 +/- 0.193,-0.909 +/- 0.059,0.623 +/- 0.415,0.545 +/- 0.427,0.500 +/- 0.453,0.474 +/- 0.589,0.940 +/- 0.153,0.904 +/- 0.095,0.876 +/- 0.195,0.899 +/- 0.153,0.944 +/- 0.139,0.901 +/- 0.105,0.855 +/- 0.221,0.848 +/- 0.222,0.939 +/- 0.162,0.900 +/- 0.102,0.866 +/- 0.200,0.899 +/- 0.147,-0.746 +/- 0.237,-0.810 +/- 0.193,-0.878 +/- 0.160,-0.946 +/- 0.039,-0.857 +/- 0.171,-0.941 +/- 0.060
tl,0.780 +/- 0.235,0.914 +/- 0.060,-0.926 +/- 0.056,-0.744 +/- 0.301,0.654 +/- 0.664,0.659 +/- 0.312,0.662 +/- 0.403,0.631 +/- 0.622,-0.958 +/- 0.086,-0.701 +/- 0.279,-0.793 +/- 0.249,-0.685 +/- 0.075,0.425 +/- 0.476,0.315 +/- 0.225,0.487 +/- 0.288,0.541 +/- 0.554,0.969 +/- 0.048,0.724 +/- 0.209,0.800 +/- 0.165,0.790 +/- 0.329,0.969 +/- 0.044,0.722 +/- 0.209,0.777 +/- 0.191,0.751 +/- 0.385,0.970 +/- 0.049,0.717 +/- 0.228,0.797 +/- 0.156,0.794 +/- 0.324,-0.667 +/- 0.173,-0.790 +/- 0.213,-0.809 +/- 0.208,-0.915 +/- 0.054,-0.751 +/- 0.204,-0.916 +/- 0.053
cf,-,-,-,-,0.164 +/- 0.484,0.334 +/- 0.679,0.035 +/- 0.687,-0.256 +/- 0.730,-0.319 +/- 0.619,0.094 +/- 0.666,-0.364 +/- 0.308,-0.615 +/- 0.473,-0.319 +/- 0.619,0.094 +/- 0.666,-0.086 +/- 0.470,-0.066 +/- 0.719,0.197 +/- 0.553,0.350 +/- 0.640,0.156 +/- 0.369,0.333 +/- 0.597,0.203 +/- 0.473,0.379 +/- 0.652,0.008 +/- 0.366,-0.091 +/- 0.571,0.147 +/- 0.577,0.274 +/- 0.657,0.314 +/- 0.510,0.542 +/- 0.563,-0.186 +/- 0.573,-0.637 +/- 0.601,-0.377 +/- 0.409,-0.883 +/- 0.128,-0.389 +/- 0.461,-0.830 +/- 0.279
sl_mlp,0.710 +/- 0.147,0.834 +/- 0.075,-0.698 +/- 0.149,-0.827 +/- 0.087,0.605 +/- 0.573,0.575 +/- 0.591,0.521 +/- 0.579,0.467 +/- 0.717,-0.864 +/- 0.103,-0.884 +/- 0.031,-0.846 +/- 0.123,-0.891 +/- 0.048,-0.374 +/- 0.276,-0.347 +/- 0.314,-0.328 +/- 0.290,-0.321 +/- 0.420,0.855 +/- 0.111,0.885 +/- 0.032,0.664 +/- 0.402,0.710 +/- 0.354,0.852 +/- 0.112,0.883 +/- 0.033,0.582 +/- 0.468,0.574 +/- 0.514,0.859 +/- 0.104,0.885 +/- 0.032,0.634 +/- 0.449,0.655 +/- 0.437,-0.134 +/- 0.330,-0.216 +/- 0.340,-0.756 +/- 0.147,-0.847 +/- 0.056,-0.688 +/- 0.156,-0.807 +/- 0.121
tl_mlp,0.039 +/- 0.246,0.655 +/- 0.177,0.019 +/- 0.215,-0.483 +/- 0.153,0.196 +/- 0.243,0.069 +/- 0.307,-0.175 +/- 0.227,0.074 +/- 0.604,-0.210 +/- 0.361,0.281 +/- 0.207,-0.307 +/- 0.299,-0.041 +/- 0.501,-0.206 +/- 0.363,0.280 +/- 0.208,-0.297 +/- 0.291,0.016 +/- 0.547,0.303 +/- 0.174,0.103 +/- 0.388,-0.144 +/- 0.204,0.134 +/- 0.612,0.336 +/- 0.180,0.117 +/- 0.350,-0.158 +/- 0.208,0.009 +/- 0.611,0.329 +/- 0.182,0.045 +/- 0.341,-0.129 +/- 0.202,0.059 +/- 0.586,0.204 +/- 0.231,-0.186 +/- 0.530,0.014 +/- 0.213,-0.449 +/- 0.254,0.056 +/- 0.306,-0.591 +/- 0.150
